class_id	parent_class_id	pref_name	class_level	protein_class_desc
99	1063.0	Phosphodiesterase 3B	4	enzyme  phosphodiesterase  pde_3  pde_3b
100	1064.0	Phosphodiesterase 4A	4	enzyme  phosphodiesterase  pde_4  pde_4a
101	1064.0	Phosphodiesterase 4B	4	enzyme  phosphodiesterase  pde_4  pde_4b
102	1064.0	Phosphodiesterase 4C	4	enzyme  phosphodiesterase  pde_4  pde_4c
103	1064.0	Phosphodiesterase 4D	4	enzyme  phosphodiesterase  pde_4  pde_4d
104	1065.0	Phosphodiesterase 5A	4	enzyme  phosphodiesterase  pde_5  pde_5a
105	1066.0	Phosphodiesterase 6A	4	enzyme  phosphodiesterase  pde_6  pde_6a
106	1066.0	Phosphodiesterase 6B	4	enzyme  phosphodiesterase  pde_6  pde_6b
107	1066.0	Phosphodiesterase 6C	4	enzyme  phosphodiesterase  pde_6  pde_6c
108	1066.0	Phosphodiesterase 6D	4	enzyme  phosphodiesterase  pde_6  pde_6d
109	1066.0	Phosphodiesterase 6G	4	enzyme  phosphodiesterase  pde_6  pde_6g
110	1066.0	Phosphodiesterase 6H	4	enzyme  phosphodiesterase  pde_6  pde_6h
111	1067.0	Phosphodiesterase 7A	4	enzyme  phosphodiesterase  pde_7  pde_7a
112	1067.0	Phosphodiesterase 7B	4	enzyme  phosphodiesterase  pde_7  pde_7b
113	1068.0	Phosphodiesterase 8A	4	enzyme  phosphodiesterase  pde_8  pde_8a
114	1068.0	Phosphodiesterase 8B	4	enzyme  phosphodiesterase  pde_8  pde_8b
115	1069.0	Phosphodiesterase 9A	4	enzyme  phosphodiesterase  pde_9  pde_9a
116	63.0	Metallo protease M14B regulatory subfamily	6	enzyme  protease  metallo  mc  m14b  reg
118	667.0	Voltage-gated potassium channel	4	ion channel  vgc  k  vg k
119	1452.0	Atypical protein kinase PDHK subfamily	5	enzyme  kinase  protein kinase  atypical  pdhk
120	71.0	Aspartic protease A22A regulatory subfamily	6	enzyme  protease  aspartic  ad  a22a  reg
123	1077.0	Phosphodiesterase 10A	4	enzyme  phosphodiesterase  pde_10  pde_10a
124	1078.0	Phosphodiesterase 11A	4	enzyme  phosphodiesterase  pde_11  pde_11a
129	6.0	Protein kinase regulatory subunit	3	enzyme  kinase  reg
130	1285.0	Tyrosine protein kinase Abl family	5	enzyme  kinase  protein kinase  tk  abl
131	1285.0	Tyrosine protein kinase Ack family	5	enzyme  kinase  protein kinase  tk  ack
132	1285.0	Tyrosine protein kinase Alk family	5	enzyme  kinase  protein kinase  tk  alk
133	1285.0	Tyrosine protein kinase Axl family	5	enzyme  kinase  protein kinase  tk  axl
134	1285.0	Tyrosine protein kinase Csk family	5	enzyme  kinase  protein kinase  tk  csk
135	1285.0	Tyrosine protein kinase Eph family	5	enzyme  kinase  protein kinase  tk  eph
136	1285.0	Tyrosine protein kinase Fak family	5	enzyme  kinase  protein kinase  tk  fak
137	1285.0	Tyrosine protein kinase Fer family	5	enzyme  kinase  protein kinase  tk  fer
139	1285.0	Tyrosine protein kinase Met family	5	enzyme  kinase  protein kinase  tk  met
140	1285.0	Tyrosine protein kinase Ret family	5	enzyme  kinase  protein kinase  tk  ret
141	1285.0	Tyrosine protein kinase Src family	5	enzyme  kinase  protein kinase  tk  src
142	1285.0	Tyrosine protein kinase Syk family	5	enzyme  kinase  protein kinase  tk  syk
143	1285.0	Tyrosine protein kinase Tec family	5	enzyme  kinase  protein kinase  tk  tec
144	1285.0	Tyrosine protein kinase Tie family	5	enzyme  kinase  protein kinase  tk  tie
146	1285.0	Tyrosine protein kinase Trk family	5	enzyme  kinase  protein kinase  tk  trk
147	1259.0	GABA-B receptor	5	membrane receptor  7tm3  smallmol  neurotransmitter  gaba-b receptor
148	1100.0	CMGC protein kinase group	4	enzyme  kinase  protein kinase  cmgc
149	1285.0	Tyrosine protein kinase EGFR family	5	enzyme  kinase  protein kinase  tk  egfr
150	1285.0	Tyrosine protein kinase FGFR family	5	enzyme  kinase  protein kinase  tk  fgfr
151	1285.0	Tyrosine protein kinase InsR family	5	enzyme  kinase  protein kinase  tk  insr
152	1285.0	Tyrosine protein kinase JakA family	5	enzyme  kinase  protein kinase  tk  jaka
153	1285.0	Tyrosine protein kinase JakB family	5	enzyme  kinase  protein kinase  tk  jakb
154	1103.0	Protein phosphatase regulatory subunit	4	enzyme  phosphatase  protein phosphatase  reg
155	1103.0	Serine protein phosphatase	4	enzyme  phosphatase  protein phosphatase  ser
156	1103.0	Tyrosine protein phosphatase	4	enzyme  phosphatase  protein phosphatase  tyr
158	1100.0	Other protein kinase group	4	enzyme  kinase  protein kinase  other
159	1285.0	Tyrosine protein kinase PDGFR family	5	enzyme  kinase  protein kinase  tk  pdgfr
160	1285.0	Tyrosine protein kinase VEGFR family	5	enzyme  kinase  protein kinase  tk  vegfr
165	1251.0	Glucagon receptor	5	membrane receptor  7tm2  peptide  glucagon-like  glucagon receptor
166	1251.0	Secretin receptor receptor	5	membrane receptor  7tm2  peptide  glucagon-like  secretin receptor
167	1179.0	Cytochrome P450 1A1	5	enzyme  cytochrome p450  cyp_1  cyp_1a  cyp_1a1
168	1179.0	Cytochrome P450 1A2	5	enzyme  cytochrome p450  cyp_1  cyp_1a  cyp_1a2
169	1180.0	Cytochrome P450 1B1	5	enzyme  cytochrome p450  cyp_1  cyp_1b  cyp_1b1
170	1181.0	Cytochrome P450 2A2	5	enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a2
171	1181.0	Cytochrome P450 2A5	5	enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a5
172	1181.0	Cytochrome P450 2A6	5	enzyme  cytochrome p450  cyp_2  cyp_2a  cyp_2a6
